Исходный адрес,Почтовый код,Область,Район,Город,Улица,Номер дома
город Минск улица Октябрьская 10/2,220030,—,—,город Минск,улица Октябрьская,"4, 19/2, 19/3, 19А, 19Б, 19Б/1, 19И, 19М, 19/5, 21/1, 23А, 2, (5-9), 5/1, 5/2, 5/3, 10, 10/2, 10А, 10Б, 14-16, 16/1, 16/2, 16/3, 16/4, 16/5, 16/6, 16/7, 16/8, 16/9, 16/10, 16/11, 16/12, 16/13, 16/14, 16/15, 16/16, 16/17, 16/18, 16/19, 16/20, 16/21, 16/22, 16/23, 16/24, 16/25, 16/26, 16/27, 16/28, (19-25), 6, 8, 8А, 12, 12А, 17"
город Минск улица Октябрьская 10/2,220030,—,—,город Минск,площадь Октябрьская,"1, 2"
город Минск улица Октябрьская 10/2,210008,Витебская,Витебский,город Витебск,улица 2 Октябрьская,"1, 3-7, 9, 9/15, 10, 11, 13, 19, 19А, 21, (25-37), 35А"
город Минск улица Октябрьская 10/2,220030,—,—,город Минск,станция Метро Октябрьская,ВСЕ
город Минск улица Октябрьская 10/2,220021,—,—,город Минск,улица 2 Пржевальского,ВСЕ
город Минск улица Октябрьская 10/2,220036,—,—,город Минск,улица 2 Землемерная,ВСЕ
город Минск улица Октябрьская 10/2,220069,—,—,город Минск,улица 2 Щорса,ВСЕ
город Минск улица Октябрьская 10/2,220113,—,—,город Минск,улица 2 Поселковая,"15-26, 24А"
город Минск улица Октябрьская 10/2,220096,—,—,город Минск,улица 2 Кольцевая,ВСЕ
город Минск улица Октябрьская 10/2,220031,—,—,город Минск,улица 2 Песочная,ВСЕ
город Минск проспект Независимости 4,220013,—,—,город Минск,проспект Независимости,"65, (59-63), 64, 64/2, 64/3, 64А, 67, 67/1, (69-79), 73А, 79/1, 79/2, 79/3, 79/4, 79/5, 79/6"
город Минск проспект Независимости 4,220125,—,—,город Минск,проспект Независимости,"177, 177/1, 177/2, 177/3, 177/4, 179, 179А, 181, 181/1, 181В, 181Г, 183, 185, 185А, 191А, 191А/3, 191А/15, 191Б, 191Д, 191Е, 191Ж"
город Минск проспект Независимости 4,220030,—,—,город Минск,проспект Независимости,"17, 17А, 21, 21/1, 21А, 6, 22, 23, 23/1, 23/2, 4, 8, 8А, 32А, 18, 19, 24, 25, 27А, 28, 29, 29/19, 32, 19А, 19Б, 19В, 19Г, 1, 3, 3/2, 11, 11/2, 12, 13, 14, 16"
город Минск проспект Независимости 4,220114,—,—,город Минск,проспект Независимости,"116, 110, 115, 117, 117/1, 119, 119А, 121, 121А, 123, 123/2, 123/3, 125, 125А, 125Б, 125В, 137/1, 137/2, 137А, 137Б, 137В, 137Г, 141/1, 141/2, 143/1, 143/2, 143А, 145, 147/1, 147/2, 149, 149А, 149Б/1, 151/1, 151/2, 151А, 151Б, 151В, 153/1, 153/2, 155/1, 155/2, 155А, 157, 157А, 157Б, (161-173), 161А, 161Б, 161Б/1, 165А, 165Б, 167А, 169/1, 169/2, 169А, 90/1, 90/2, (92-100), 92А, 96А, 98А, 102-107, 102А, 102Б, 107А, (109-113), 110/1, 110А, 110Б, 110В, 113А/1, 113А/11, 113А/12, 113А/13, 113А/14, 113А/15, 113А/17, 113А/18, 113А/19, 113А/20, 113А/21, 113А/3, 113А/4, 113А/5, 113А/7, 113А/8, 113А/9, 115А, 115А/1, 115А/2, 115А/3, 115Б, 117/10, 117/11, 117/12, 117/13, 117/14, 117/15, 117/16, 117/17, 117/18, 117/2, 117/3, 117/4, 117/5, 117/6, 117/7, 117/8, 117/9, 117А, 127, 129/1, 129/2, 131/1, 131/2, 133, 135, 139"
город Минск проспект Независимости 4,220050,—,—,город Минск,проспект Независимости,"10, 10/1, 10/2"
город Минск проспект Независимости 4,220008,—,—,город Минск,проспект Независимости,"20, 20/1, 20/2, 20/3"
город Минск проспект Независимости 4,220056,—,—,город Минск,проспект Независимости,"191, 186, 218, 191/1, 191/2, 191/3, 191/4, 191/5, 191/6, 191/7, 191/8, 191/9, 191/10, 191/11, 191/12, 191/13, 191/14, 191/15, 191/16, 191/17, 191/18, 191/20, 191/21, 191/22, 191/23, 191В, 191Г, 191И, 193, 193А, 195, 195А, 195/1, 195/2, 195/4, 196, 198-200, 199/2, 199/3, 199/4, 199/5, 200А, 202, 202/1, 202/2, 202/3"
город Минск проспект Независимости 4,220034,—,—,город Минск,проспект Независимости,"(34-42), 40А, 40Б, 27, 27/1"
город Минск проспект Независимости 4,220005,—,—,город Минск,проспект Независимости,"44, 45, 47, 46, 46А, 46Б, 46В, 48, 48А, 48Б, 37, 37А, 37Б/2, 37В/1, 39, 39А, 39Б/14, 39Б/18, 39Б/3, 39Б/8, 43, 49-58, 58/1, 58/2, 58/3, 58/4, 58/5, 58/6, 58/7, 58/8, 58/9, 58/10, 58/11, 58/12, 58/13, 58/14, 58/22, 58А, 58Б, 58В, 58В/1, 60, 62, 62А"
город Минск проспект Независимости 4,220141,—,—,город Минск,проспект Независимости,"156, 164, 168/1, 168/2, 168/3, (170-174), 180, 180А, 176, 178, 182"
город Витебск улица Ленина 26/2,210009,Витебская,Витебский,город Витебск,улица Июня 26,"2, 2/53, 4, 5, 12"
город Витебск улица Ленина 26/2,210009,Витебская,Витебский,город Витебск,переулок Июня 26,"6, 6/1"
город Витебск улица Ленина 26/2,210015,Витебская,Витебский,город Витебск,улица Ленина,"8В, 17, (2-12), 6А, 8В/1, 10А/1, 12А, (16-26), 16А, 20А, 20/1, 22/16, 26А, 8А, 8Б, 10А, 10Б, 26/2, (1-5), 1/8, 1А, 3А, 3Б, 5/1, 5А, 7/8, (9-13), 9А, 14, 15А, 15/1, 15/9, 15/12, 17/1, 17/2, (19-23), 23А"
город Витебск улица Ленина 26/2,210026,Витебская,Витебский,город Витебск,улица Ленина,"69, 71, 24/1, 26А/1, 28, 28/31, 28А, 30, 33, 33А, 35, 35А, (53-65), 53А, 63А, (52-64), 52/13, 52А, 52Б, 54А, 57/4, 62/19, 64/1, 66А, 66/1, 66/2, 65А, 67, 65Б, 66, 66Б, 67А, 68, 70, 72-76, 72/1, 73/2, 73А, 80, 80/1, 82, 84, 36, 40, 43, 45, 46, 46/1, 48, 48А, 48Б, 50, 50/6, 50Б, 52А/1, 55А, 58А"
город Витебск улица Ленина 26/2,210005,Витебская,Витебский,город Витебск,улица Ленина,32
город Витебск улица Ленина 26/2,210026,Витебская,Витебский,город Витебск,площадь Ленина,84/2
город Витебск улица Ленина 26/2,225215,Брестская,Березовский,город Белоозерск,территория Дспмк-26,1
город Витебск улица Ленина 26/2,211162,Витебская,Чашникский,город Новолукомль,переулок 26 Центральный,ВСЕ
город Витебск улица Ленина 26/2,231244,Гродненская,Новогрудский,город Новогрудок,переулок 2 Ленина,ВСЕ
город Витебск улица Ленина 26/2,231463,Гродненская,Дятловский,агрогородок Гезгалы,исправительная колония 26,26
